"session";"created";"modified";"ended";"expired";"datenschutz";"ein_p_1";"ein_p_2";"ein_p_x";"ein_t_1";"ein_t_2";"hyb_p_2";"hyb_p_3";"hyb_p_4";"hyb_p_5";"hir_p_1";"hir_p_2";"hir_p_3";"hir_t_1";"hir_t_2";"hir_t_3";"tfe_1_sr";"tfe_2_sr";"tfe_3_sr";"tfe_4_sr";"tfe_5_sr";"sel_1_sr";"sel_2_sr";"sel_3_sr";"sel_4_sr";"sel_5_sr";"enr_1_sr";"enr_2_sr";"enr_3_sr";"enr_4_sr";"enr_5_sr";"rel_1_sr";"rel_2_sr";"rel_3_sr";"rel_4_sr"
"cleverStoatXXXOzheXFX2-FJUPMvSSS_03jBQ8MJy9TQ5boyWSbf-XaZe0JsV4L";"2020-01-22 15:13:32";"2020-01-22 15:18:16";"";"";"1";"";"";"";"";"";"1";"1";"";"";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"excitedMonitorXXX7Pl85PG8G6QUtY9T_RZzi6IU0McLLP1SAxBa-bAXO9l2Wjp";"2020-01-22 15:21:19";"2020-01-22 15:33:40";"2020-01-22 15:33:40";"";"1";"";"";"";"";"";"1";"1";"";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"glamorousIndriXXXO86PsoFIoOJczAEFzLHj2EzuFrbl61jtEpfjiEFkDnpAAI8";"2020-01-22 15:36:23";"2020-01-23 09:16:29";"";"2020-01-23 09:22:01";"1";"";"";"";"";"";"1";"1";"";"";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"glamorousIndriXXXO86PsoFIoOJczAEFzLHj2EzuFrbl61jtEpfjiEFkDnpAAI8";"2020-01-23 09:22:01";"2020-01-23 09:22:15";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"gleamingMarineToadXXXVLUkqfQY8NYAFhbc1O6TGq6sOYZq35GsAxilsgDVXVR";"2020-01-28 17:56:35";"2020-01-28 18:01:20";"";"2020-01-28 18:01:27";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"gleamingMarineToadXXXVLUkqfQY8NYAFhbc1O6TGq6sOYZq35GsAxilsgDVXVR";"2020-01-28 18:01:27";"2020-01-28 18:01:34";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"determinedHedgehogXXXBA7xNRwCQtpSccRM6aYPJnkEmTwmEqc_aKP9ZgElZl6";"2020-01-28 18:01:50";"2020-01-28 18:01:56";"";"2020-01-28 18:03:11";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"determinedHedgehogXXXBA7xNRwCQtpSccRM6aYPJnkEmTwmEqc_aKP9ZgElZl6";"2020-01-28 18:03:11";"2020-01-28 18:03:29";"";"2020-01-28 18:03:57";"1";"1";"1";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"determinedHedgehogXXXBA7xNRwCQtpSccRM6aYPJnkEmTwmEqc_aKP9ZgElZl6";"2020-01-28 18:03:57";"2020-01-28 18:04:37";"";"";"1";"1";"1";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"awkwardHeronXXX-dmE_CvRZBu2xmSXofo39utpcvccgfsiA8FgcAtw6E1QtJ8kA";"2020-01-28 18:05:57";"2020-01-28 18:06:03";"";"2020-01-28 18:08:19";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"awkwardHeronXXX-dmE_CvRZBu2xmSXofo39utpcvccgfsiA8FgcAtw6E1QtJ8kA";"2020-01-28 18:08:19";"2020-01-28 18:09:12";"";"2020-01-28 18:10:09";"1";"3";"6";"thank the formr monkey
many times";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"awkwardHeronXXX-dmE_CvRZBu2xmSXofo39utpcvccgfsiA8FgcAtw6E1QtJ8kA";"2020-01-28 18:10:09";"2020-01-28 18:10:51";"";"";"1";"1";"1";"thank the formr monkey
many times";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"agreeableRobinXXXVdBNLTvzoPFsGD2OlO5YfJ5qIDNBBU3dIc3ckrQKphkQyPD";"2020-01-28 18:13:43";"2020-01-28 18:16:35";"";"2020-01-28 18:17:08";"1";"1";"1";"";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"agreeableRobinXXXVdBNLTvzoPFsGD2OlO5YfJ5qIDNBBU3dIc3ckrQKphkQyPD";"2020-01-28 18:17:09";"2020-01-28 18:17:43";"2020-01-28 18:17:43";"";"1";"1";"1";"thank the formr monkey
many times";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"badGharialXXXTGFNAAYxF29fTClD-JHgSfAGf25ERUh33xFeW1mjMMf_j_cIzHm";"2020-01-28 18:18:33";"2020-01-29 07:48:40";"2020-01-29 07:48:40";"";"1";"1";"1";"thank the formr monkey
many times";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"innocentRedWolfXXX9GPrDT7CKKIPk9AyfhWHGRfM8CYPEoBgv4SRfCIePTJs1B";"2020-01-29 09:43:28";"2020-01-31 11:38:24";"";"";"1";"1";"1";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"1";"";"";"1";"";"1";"";"1";"1";"";"1";"1";"";"";"1";"";"1";""
"excitedBisonXXXqv6lIwiTbXUbk8zD6ZOyCK0Fj9ivIcQ8WyqB7wuFBEW25KuPj";"2020-01-29 09:44:21";"2020-01-29 09:50:44";"2020-01-29 09:50:44";"";"1";"2";"4";"wegen der Hose";"2";"4";"1";"4";"4";"2";"4";"2";"2";"3";"2";"6";"1";"2";"5";"2";"2";"1";"6";"4";"5";"3";"6";"4";"2";"2";"3";"2";"3";"2";"4"
"excitedBisonXXXqv6lIwiTbXUbk8zD6ZOyCK0Fj9ivIcQ8WyqB7wuFBEW25KuPj";"2020-01-29 09:51:29";"2020-01-29 09:54:16";"";"2020-01-29 09:54:19";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"excitedBisonXXXqv6lIwiTbXUbk8zD6ZOyCK0Fj9ivIcQ8WyqB7wuFBEW25KuPj";"2020-01-29 09:54:19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"darkSparrowXXXmuSqglTEfwjfBIL-FxzXUQ2wBXuF5uMA_drc5v1ZsfB-1qrU8V";"2020-01-29 09:57:46";"2020-01-29 09:57:53";"";"2020-01-29 09:58:21";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
