"session";"created";"modified";"ended";"expired";"datenschutz";"ein_p_1";"ein_p_2";"ein_p_x";"ein_t_1";"ein_t_2";"hyb_p_2";"hyb_p_3";"hyb_p_4";"hyb_p_5";"hir_p_1";"hir_p_2";"hir_p_3";"hir_t_1";"hir_t_2";"hir_t_3"
"jollyPoodleXXXxzd9NomDbQ4ceDpigE0mFLX7-HHQMCD4m3tjhAl7G9Cs5uW38B";"2020-02-04 12:30:41";"2020-02-04 12:30:52";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"cleanCarolinaXXXbo2VhCG26JVc00H-JRHwjuUfhWxN1mnv-oi6zRecpJWWhTEv";"2020-02-04 12:34:35";"2020-02-04 12:35:34";"";"2020-02-04 12:37:13";"1";"5";"2";"";"1";"1";"1";"1";"1";"1";"";"";"";"";"";""
"cleanCarolinaXXXbo2VhCG26JVc00H-JRHwjuUfhWxN1mnv-oi6zRecpJWWhTEv";"2020-02-04 12:37:13";"2020-02-04 12:38:12";"2020-02-04 12:38:12";"";"1";"1";"1";"thank the formr monkey
many times";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"obedientToadXXXi39K5uwZKnuBAUweiGmgIbbdeJZnKqfmwn_RVF6-5BqS9158j";"2020-02-12 19:30:10";"2020-02-12 19:30:43";"2020-02-12 19:30:43";"";"1";"4";"3";"";"5";"3";"2";"2";"3";"4";"4";"2";"1";"2";"4";"2"
"shinyCentipedeXXXk9TQUv2TEKL-IjWXbZ_-8lU63yd8XnILcQkX8ZB0OI5Z2wH";"2020-02-12 19:30:53";"2020-02-12 19:31:05";"2020-02-12 19:31:05";"";"1";"1";"1";"thank the formr monkey
many times";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1"
"wcHQMr2tcw19vtcva2RxZZKjZ74T0s6lHjZOg1yZ_Urlupv9EsoBFhFZp0bMxltX";"2020-02-13 09:57:51";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"modernBonoboXXXZrAwnwzRiv6wIWIbyS13RPWDy_AOhvaf38UgSoqeddU7vhhc6";"2020-02-13 10:00:23";"2020-02-18 13:43:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"a75itnEyfE2mC9s4D_D1AX9s8CBhjcOwT43pGQCe200VelyMzWsIYW4bLoHsu9IQ";"2020-02-13 14:24:53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8sZbqVa_X4c4bS0jsJ7AAwy53Gf3-yLHBSGLhOXrOOS3qpYihHZxy49Y6I5dkN_2";"2020-02-14 09:21:08";"2020-02-14 09:23:57";"2020-02-14 09:23:57";"";"1";"5";"1";"";"5";"2";"5";"5";"4";"5";"5";"6";"5";"3";"4";"2"
"48OS4gV8Jgq9tk9Akc2ZOzuvtydXlX4od0O9e_-pznLK4IzBS4U0miGjORvga_sQ";"2020-02-14 09:21:12";"2020-02-14 09:26:16";"2020-02-14 09:26:16";"";"1";"2";"3";"Bachelorarbeit, kein alternativer Nachschreibetermin für Studierende im Praxissemster, Veranstaltung mit Anwesenheitspflicht (Pädagogik)";"4";"5";"6";"5";"6";"4";"4";"4";"6";"5";"6";"5"
